axis,asr,group,point,ci_lo,ci_hi,n_clips,n_participants,n_boot_finite,metric
accent,audio,Standard American English,0.29586533241404844,0.28665289867217325,0.3057556441813214,5855,221,2000,non_vocal_fraction
primary_language,audio,Arabic,0.32302083386891545,0.32302083386891545,0.32302083386891545,31,1,1244,non_vocal_fraction
primary_language,audio,English,0.2979797605746684,0.2918151447965194,0.30444086685088906,12350,457,2000,non_vocal_fraction
primary_language,audio,French,0.32485204850836463,0.23033949937322032,0.4552495640206242,168,6,1996,non_vocal_fraction
primary_language,audio,German,0.3418038783462171,0.3332444866147321,0.3503632700777021,53,2,1728,non_vocal_fraction
primary_language,audio,Japanese,0.17993448168520032,0.17993448168520032,0.17993448168520032,25,1,1245,non_vocal_fraction
primary_language,audio,Other,0.313315542901839,0.27529476716955076,0.35064261939403657,301,11,2000,non_vocal_fraction
primary_language,audio,Polish,0.3487933962138331,0.3163715555365218,0.38121523689114434,53,2,1699,non_vocal_fraction
primary_language,audio,Portuguese,0.2915906975122933,0.2915906975122933,0.2915906975122933,26,1,1253,non_vocal_fraction
primary_language,audio,Russian,0.27084901595816946,0.18369116583570771,0.362071626344917,82,3,1899,non_vocal_fraction
primary_language,audio,Signed Language,0.2965760154390236,0.2965760154390236,0.2965760154390236,29,1,1252,non_vocal_fraction
primary_language,audio,Spanish,0.2400096023729211,0.1546855195586021,0.34900727587943947,109,4,1965,non_vocal_fraction
primary_language,audio,Tagalog,0.26071787683967973,0.26071787683967973,0.26071787683967973,27,1,1247,non_vocal_fraction
race,audio,Black,242.2612246178643,236.56466242193025,247.5818191361358,6337,234,2000,wpm
race,audio,White,259.5915045058902,254.18230615066537,264.74208267753306,6506,241,2000,wpm
gender,audio,Female,246.40371210328215,241.28542178311994,251.45892801124927,6317,236,2000,wpm
gender,audio,Male,255.6460380339967,249.6383194824278,261.3537008832303,6526,239,2000,wpm
recording_device,audio,Laptop/Computer with built-in microphone,249.51461658151936,244.0167243587814,254.8636849806058,5974,215,2000,wpm
recording_device,audio,Laptop/Computer with external microphone,259.6276054080752,250.99932717492592,267.78391833626256,3191,115,2000,wpm
recording_device,audio,Other (Please specify),218.75232692514024,206.7956451594388,235.47911151861987,106,4,1977,wpm
recording_device,audio,Smartphone,247.49881189844103,239.56864926621097,255.78436507732002,3189,127,2000,wpm
recording_device,audio,Tablet,245.75025291013603,225.05044753577056,267.8138249781782,383,14,2000,wpm
